"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"NAG","92",1000,1000,FALSE,1917116.40034198,368416.63333953,5.70643052593049e-09,TRUE
"NAG","93",1000,1000,FALSE,1532164.99221669,499977.036481306,1.60678623940463e-06,TRUE
"NAG","94",1000,1000,FALSE,10082028.0659537,1837712.8981302,3.25762453060808e-09,TRUE
"NAG","95",1000,1000,FALSE,4259818.15139142,2125631.33474062,0.000157952219100355,TRUE
"NAG","96",1000,1000,FALSE,4913497.21162584,749947.337807912,4.97168296715304e-10,TRUE
"NAG","97",1000,1000,FALSE,3609538.39638799,1342725.07013186,6.55703795261596e-06,TRUE
"NAG","98",1000,1000,FALSE,5069026.86748076,869164.603124316,1.70427234324468e-09,TRUE
"NAG","99",1000,500,TRUE,432604.014549674,16035.6465829917,1.65043130190881e-16,TRUE
"NAG","100",1000,500,TRUE,37505.3545896626,13575.5524055221,4.88703198582439e-06,TRUE
"NAG","101",1000,500,TRUE,47236.8113084357,1896.77167361008,3.82813180664357e-16,TRUE
"NAG","102",1000,500,TRUE,6070.75244631647,765.468031850084,6.59826817362171e-11,TRUE
"NAG","103",1000,1000,FALSE,495864.678545284,128123.720912611,1.32740397857168e-07,TRUE
"NAG","104",1000,500,TRUE,22291283.6241137,995401.010900375,1.17021277563133e-15,TRUE
"NAG","105",1000,1000,FALSE,3813982.18040488,160153.316562005,6.12780195282998e-16,TRUE
"NAG","106",1000,1000,FALSE,3127927.92426439,1150654.60378016,5.81521812865228e-06,TRUE
"NAG","107",1000,500,TRUE,7662975.92850865,944319.642713788,5.17818924999729e-11,TRUE
"NAG","108",1000,500,TRUE,4620.91245917886,1524.09156531711,1.8016225837348e-06,TRUE
"NAG","109",1000,500,TRUE,3710.71228581328,1177.2372753716,1.1882272835267e-06,TRUE
"NAG","110",1000,500,TRUE,842.603257201706,207.126331574656,7.80519356581184e-08,TRUE
